model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,make
 Golf,2019,"$23,999 ",Automatic,5995,Petrol,145,37.7,2,volkswagen
 1 Series,2020,"$23,450 ",Manual,1524,Petrol,145,44.1,1.5,BMW
 EcoSport,2019,"$15,000 ",Manual,9868,Petrol,145,53.3,1,ford
 Passat,2019,"$26,169 ",Automatic,9690,Diesel,145,48.7,2,volkswagen
 Fiesta,2018,"$12,870 ",Manual,10119,Petrol,145,58.9,1,ford
 I10,2014,"$6,800 ",Semi-Auto,38193,Petrol,160,45.6,1.2,hyundi
 Q5,2019,"$31,498 ",Semi-Auto,28,Petrol,145,33.2,2,Audi
 C Class,2013,"$10,500 ",Automatic,90000,Diesel,145,54.3,2.1,merc
 Kuga,2016,"$11,998 ",Automatic,20010,Petrol,235,38.2,1.5,ford
 2 Series,2017,"$16,950 ",Semi-Auto,11569,Petrol,150,53.3,1.5,BMW
 Up,2019,"$9,999 ",Manual,15,Petrol,145,54.3,1,volkswagen
 E Class,2016,"$20,480 ",Semi-Auto,29131,Diesel,160,50.4,3,merc
 A6,2019,"$27,990 ",Automatic,7400,Diesel,145,50.4,2,Audi
 Q5,2016,"$22,495 ",Semi-Auto,17550,Diesel,200,47.1,2,Audi
 Q2,2019,"$21,300 ",Automatic,2231,Diesel,145,47.9,1.6,Audi
 A7,2015,"$22,450 ",Semi-Auto,55449,Diesel,160,52.3,3,Audi
 Meriva,2015,"$5,999 ",Manual,35433,Petrol,145,47.1,1.4,vauxhall
 X1,2017,"$14,600 ",Manual,40831,Diesel,145,68.9,2,BMW
 Auris,2011,"$6,800 ",Automatic,67437,Hybrid,0,70.6,1.8,toyota
 CLA Class,2020,"$54,900 ",Automatic,3600,Petrol,145,33.2,2,merc
 Polo,2014,"$7,250 ",Manual,31006,Petrol,125,51.4,1.2,volkswagen
 Golf,2019,"$19,990 ",Automatic,6542,Diesel,145,52.3,2,volkswagen
 A5,2019,"$28,450 ",Automatic,2913,Petrol,145,39.8,2,Audi
 Superb,2019,"$17,998 ",Semi-Auto,30258,Diesel,150,62.8,2,skoda
 Grandland X,2019,"$18,499 ",Automatic,10767,Petrol,150,43.5,1.2,vauxhall
 Golf,2016,"$16,490 ",Manual,24882,Diesel,20,67.3,2,volkswagen
 Arteon,2019,"$26,840 ",Semi-Auto,3806,Petrol,145,47.1,2,volkswagen
 A1,2015,"$12,491 ",Manual,33527,Petrol,30,55.4,1.4,Audi
 Crossland X,2019,"$18,000 ",Automatic,4710,Diesel,145,55.4,1.5,vauxhall
 A3,2019,"$22,930 ",Automatic,9583,Petrol,150,41.5,1.5,Audi
 Santa Fe,2013,"$12,498 ",Automatic,38602,Diesel,260,41.5,2.2,hyundi
 Fiesta,2019,"$13,000 ",Manual,11233,Petrol,145,60.1,1,ford
 B Class,2016,"$13,990 ",Semi-Auto,45782,Diesel,20,68.9,2.1,merc
 E Class,2018,"$21,000 ",Automatic,29679,Diesel,145,72.4,2,merc
 Land Cruiser,2016,"$31,990 ",Semi-Auto,43996,Diesel,305,38.2,2.8,toyota
 Yaris,2016,"$7,804 ",Manual,30500,Petrol,30,58,1.3,toyota
 Focus,2018,"$12,990 ",Manual,20425,Petrol,150,57.7,1,ford
 Tiguan,2019,"$27,950 ",Automatic,4649,Diesel,145,39.8,2,volkswagen
 EcoSport,2019,"$16,950 ",Automatic,1086,Petrol,145,44.1,1,ford
 Mokka,2016,"$9,195 ",Manual,19560,Diesel,30,65.7,1.6,vauxhall
 Focus,2017,"$8,498 ",Manual,51643,Petrol,20,61.4,1,ford
 X5,2015,"$28,000 ",Automatic,36174,Diesel,205,47.1,3,BMW
 X1,2016,"$12,999 ",Manual,58557,Diesel,20,68.9,2,BMW
 Fiesta,2017,"$9,590 ",Manual,19605,Petrol,150,65.7,1,ford
 2 Series,2019,"$21,920 ",Semi-Auto,7060,Diesel,145,49.6,2,BMW
 GLC Class,2019,"$31,480 ",Semi-Auto,9807,Diesel,145,56.5,2.1,merc
 Beetle,2013,"$10,999 ",Manual,16969,Petrol,235,37.2,2,volkswagen
 Golf,2019,"$28,999 ",Automatic,3972,Petrol,150,32.8,2,volkswagen
 Golf,2019,"$19,990 ",Manual,11,Diesel,145,57.7,1.6,volkswagen
 Combo Life,2019,"$13,998 ",Manual,7555,Diesel,145,53.3,1.5,vauxhall
 Scirocco,2016,"$12,000 ",Manual,19169,Petrol,125,37.2,1.4,volkswagen
 Corsa,2017,"$7,600 ",Manual,11665,Petrol,30,54.3,1.4,vauxhall
 Kuga,2017,"$15,500 ",Manual,19027,Diesel,145,64.2,1.5,ford
 Golf,2016,"$12,199 ",Manual,17430,Petrol,30,53.3,1.4,volkswagen
 Polo,2017,"$12,290 ",Manual,22300,Petrol,0,65.7,1,volkswagen
 Fiesta,2018,"$11,995 ",Manual,11750,Petrol,145,65.7,1,ford
 Polo,2019,"$21,000 ",Semi-Auto,3500,Petrol,150,39.8,2,volkswagen
 Superb,2019,"$16,090 ",Manual,13689,Petrol,145,40.9,1.5,skoda
 EcoSport,2018,"$14,790 ",Manual,7315,Petrol,145,51.4,1,ford
 Tucson,2019,"$23,991 ",Semi-Auto,10,Petrol,145,36.2,1.6,hyundi
 Focus,2018,"$18,995 ",Manual,6317,Petrol,145,41.5,2,ford
 A Class,2016,"$12,790 ",Semi-Auto,54803,Diesel,20,74.3,1.5,merc
 Insignia,2016,"$6,950 ",Manual,67247,Diesel,20,72.4,1.6,vauxhall
 GLC Class,2019,"$35,400 ",Automatic,6000,Diesel,145,44.8,2,merc
 1 Series,2010,"$7,990 ",Automatic,60000,Diesel,145,53.3,2,BMW
 X1,2016,"$15,991 ",Manual,39917,Diesel,125,58.9,2,BMW
 Focus,2019,"$17,995 ",Manual,90,Petrol,145,49.6,1,ford
 1 Series,2015,"$12,950 ",Automatic,31384,Diesel,30,65.7,2,BMW
 I10,2018,"$9,297 ",Semi-Auto,17356,Petrol,150,47.9,1.2,hyundi
 Galaxy,2019,"$23,780 ",Manual,12500,Diesel,145,55.4,2,ford
 Fiesta,2018,"$11,000 ",Manual,14282,Petrol,150,65.7,1,ford
 Fox,2006,"$1,250 ",Manual,82704,Petrol,150,46.3,1.2,volkswagen
 Q3,2020,"$39,000 ",Semi-Auto,3500,Diesel,145,46.3,2,Audi
 Focus,2017,"$9,999 ",Manual,35293,Diesel,0,74.3,1.5,ford
 Fiesta,2018,"$10,770 ",Manual,31306,Petrol,145,56.5,1,ford
 Fiesta,2017,"$8,300 ",Manual,28747,Petrol,0,65.7,1,ford
 Grand C-MAX,2011,"$5,485 ",Manual,73780,Petrol,200,40.9,1.6,ford
 GLA Class,2017,"$21,085 ",Automatic,18607,Diesel,145,56.5,2.1,merc
 GLA Class,2016,"$17,500 ",Automatic,27660,Diesel,125,56.5,2.1,merc
 Kuga,2019,"$22,599 ",Manual,5866,Diesel,150,37.7,2,ford
 C Class,2020,"$30,480 ",Semi-Auto,1989,Diesel,145,64.2,2,merc
 Corsa,2014,"$5,703 ",Manual,44217,Petrol,125,51.4,1.2,vauxhall
 Fabia,2017,"$11,498 ",Semi-Auto,15771,Diesel,20,70.6,1.4,skoda
 T-Cross,2020,"$19,491 ",Manual,2000,Petrol,145,48.7,1,volkswagen
 A Class,2020,"$22,990 ",Manual,2125,Petrol,145,28.5,1.3,merc
 V Class,2019,"$20,950 ",Automatic,20500,Diesel,145,48.7,2.1,merc
 A3,2013,"$7,000 ",Manual,49525,Diesel,20,68.9,1.6,Audi
 Citigo,2015,"$4,995 ",Manual,58249,Petrol,20,62.8,1,skoda
 Caravelle,2019,"$40,000 ",Automatic,2000,Diesel,150,33.6,2,volkswagen
 Aygo,2019,"$9,998 ",Manual,2519,Petrol,145,56.5,1,toyota
 Corolla,2019,"$23,650 ",Automatic,7000,Hybrid,135,85.6,1.8,toyota
 Touareg,2016,"$23,590 ",Semi-Auto,27655,Diesel,235,42.8,3,volkswagen
 Mokka X,2017,"$10,075 ",Manual,25617,Petrol,145,47.1,1.4,vauxhall
 Fiesta,2015,"$7,300 ",Manual,31626,Petrol,0,65.7,1,ford
 A3,2017,"$18,200 ",Semi-Auto,18052,Diesel,145,61.4,2,Audi
 Yaris,2018,"$11,795 ",Manual,5850,Petrol,145,58.9,1.5,toyota
 Yaris,2014,"$6,498 ",Manual,34866,Petrol,125,51.4,1.3,toyota
 3 Series,2016,"$12,350 ",Automatic,59434,Diesel,20,70.6,2,BMW
 A4,2016,"$20,699 ",Semi-Auto,49800,Diesel,145,53.3,3,Audi
 Golf,2015,"$11,495 ",Manual,20012,Petrol,30,53.3,1.4,volkswagen
 I30,2016,"$8,250 ",Manual,30000,Diesel,0,78.4,1.6,hyundi
 Mustang,2018,"$31,991 ",Semi-Auto,28915,Petrol,145,22.1,5,ford
 Mokka X,2017,"$11,495 ",Manual,20880,Diesel,20,68.9,1.6,vauxhall
 Focus,2019,"$16,410 ",Manual,13245,Diesel,145,74.3,1.5,ford
 A3,2016,"$16,895 ",Manual,12512,Petrol,20,60.1,1.4,Audi
 Golf,2017,"$16,998 ",Manual,17010,Diesel,150,67.3,2,volkswagen
 Ka+,2018,"$7,570 ",Manual,14604,Petrol,145,57.7,1.2,ford
 Grandland X,2019,"$17,400 ",Automatic,14263,Diesel,145,57.7,1.5,vauxhall
 Yeti Outdoor,2017,"$12,295 ",Manual,30637,Petrol,125,51.4,1.2,skoda
 GTC,2016,"$7,495 ",Manual,34391,Petrol,160,47.1,1.4,vauxhall
 I40,2016,"$8,850 ",Manual,38572,Diesel,20,67.3,1.7,hyundi
 Fabia,2017,"$11,490 ",Automatic,2000,Petrol,145,61.4,1,skoda
 Astra,2017,"$10,491 ",Manual,15432,Petrol,125,51.4,1.4,vauxhall
 Insignia,2019,"$14,998 ",Manual,16479,Petrol,145,50.4,1.5,vauxhall
 Yaris,2019,"$14,995 ",Manual,59,Petrol,145,47.9,1.5,toyota
 Superb,2019,"$32,300 ",Semi-Auto,1967,Petrol,145,33.2,2,skoda
 Focus,2019,"$16,998 ",Manual,18875,Petrol,145,60.1,1,ford
 Fiesta,2013,"$7,695 ",Automatic,30889,Petrol,150,47.9,1.6,ford
 Polo,2015,"$12,489 ",Manual,16851,Petrol,20,61.4,1.4,volkswagen
 RAV4,2017,"$17,995 ",Automatic,35509,Petrol,205,43.5,2,toyota
 Aygo,2020,"$10,730 ",Manual,500,Petrol,145,57.7,1,toyota
 C Class,2019,"$26,995 ",Semi-Auto,11980,Diesel,145,56.5,2,merc
 Adam,2018,"$8,971 ",Manual,20861,Petrol,150,53.3,1.2,vauxhall
 Galaxy,2018,"$18,290 ",Automatic,28425,Diesel,145,52.3,2,ford
 3 Series,2014,"$9,995 ",Automatic,103000,Diesel,125,60.1,2,BMW
 Q7,2012,"$16,995 ",Automatic,91229,Diesel,300,39.2,3,Audi
 Golf,2017,"$12,989 ",Manual,37234,Diesel,150,67.3,2,volkswagen
 A3,2015,"$10,467 ",Manual,41402,Diesel,20,68.9,2,Audi
 Fiesta,2017,"$8,930 ",Manual,12397,Petrol,145,54.3,1.2,ford
 1 Series,2016,"$11,399 ",Manual,26231,Diesel,0,78.5,1.5,BMW
 A Class,2020,"$25,644 ",Automatic,2983,Petrol,145,53.3,1.3,merc
 GLA Class,2015,"$15,500 ",Manual,48366,Diesel,20,62.8,2.1,merc
 1 Series,2016,"$10,016 ",Manual,45919,Petrol,125,53.3,1.5,BMW
 A6,2017,"$19,990 ",Automatic,32276,Diesel,145,61.4,2,Audi
 Fiesta,2018,"$12,990 ",Manual,11000,Diesel,145,58.9,1.5,ford
 M3,2016,"$33,750 ",Semi-Auto,33000,Petrol,300,34,3,BMW
 Tucson,2017,"$18,330 ",Manual,15899,Diesel,145,54.3,2,hyundi
 T-Roc,2018,"$19,999 ",Manual,6108,Petrol,145,53.3,1.5,volkswagen
 Astra,2015,"$7,013 ",Automatic,49492,Petrol,235,38.2,1.6,vauxhall
 Kuga,2017,"$17,994 ",Manual,20633,Diesel,150,54.3,2,ford
 Focus,2019,"$15,850 ",Manual,7288,Petrol,145,60.1,1,ford
 Kona,2019,"$16,495 ",Manual,4459,Petrol,145,44.1,1,hyundi
 Prius,2017,"$17,800 ",Automatic,33710,Hybrid,135,94.1,1.8,toyota
 B Class,2019,"$23,900 ",Automatic,2502,Petrol,145,44.8,1.3,merc
 4 Series,2019,"$22,810 ",Automatic,5984,Petrol,145,48.7,2,BMW
 Corsa,2016,"$7,500 ",Manual,16697,Petrol,30,54.3,1.4,vauxhall
 Superb,2019,"$19,998 ",Semi-Auto,3648,Petrol,145,36.7,1.5,skoda
 CL Class,2014,"$12,450 ",Manual,56077,Petrol,125,50.4,1.6,merc
 Tiguan,2017,"$15,491 ",Manual,45185,Diesel,125,58.9,2,volkswagen
 A5,2014,"$14,939 ",Automatic,61346,Diesel,160,49.6,3,Audi
 3 Series,2019,"$33,995 ",Semi-Auto,7974,Hybrid,135,8.8,2,BMW
 Kodiaq,2017,"$17,890 ",Manual,23610,Petrol,145,40.9,1.4,skoda
 Mokka X,2017,"$10,290 ",Manual,29980,Petrol,200,42.2,1.6,vauxhall
 Corsa,2017,"$7,999 ",Manual,14000,Petrol,145,54.3,1.4,vauxhall
 Q7,2019,"$46,850 ",Automatic,50,Diesel,145,33.6,3,Audi
 X3,2016,"$18,800 ",Automatic,46911,Diesel,150,54.3,2,BMW
 Astra,2016,"$9,699 ",Manual,20541,Petrol,125,51.4,1.4,vauxhall
 C Class,2019,"$29,990 ",Automatic,4850,Diesel,145,61.4,2,merc
 Q2,2017,"$16,950 ",Manual,25000,Petrol,125,52.3,1.4,Audi
 Kuga,2017,"$12,499 ",Manual,27611,Diesel,30,64.2,1.5,ford
 CL Class,2019,"$31,790 ",Automatic,3025,Petrol,145,44.8,1.3,merc
 Ka+,2018,"$8,343 ",Manual,7852,Petrol,145,57.7,1.2,ford
 Focus,2015,"$13,999 ",Manual,30367,Petrol,200,41.5,2,ford
 Cascada,2016,"$9,991 ",Manual,35954,Diesel,125,57.6,2,vauxhall
 Arteon,2019,"$29,995 ",Semi-Auto,7299,Diesel,145,50.4,2,volkswagen
 Up,2015,"$6,980 ",Manual,17052,Petrol,20,62.8,1,volkswagen
 Scala,2019,"$18,295 ",Automatic,5697,Diesel,145,54.3,1.6,skoda
 Zafira,2016,"$11,290 ",Manual,9941,Petrol,200,42.2,1.4,vauxhall
 C Class,2019,"$33,998 ",Semi-Auto,1558,Petrol,145,44.1,1.5,merc
 C Class,2019,"$25,199 ",Semi-Auto,14855,Petrol,145,47.1,1.5,merc
 Adam,2017,"$8,140 ",Manual,12536,Petrol,125,53.3,1.2,vauxhall
 Fiesta,2018,"$10,200 ",Manual,8396,Petrol,150,64.2,1.1,ford
 Karoq,2018,"$20,450 ",Automatic,14120,Petrol,145,50.4,1.5,skoda
 Superb,2017,"$18,995 ",Semi-Auto,13000,Petrol,145,45.6,2,skoda
 Prius,2017,"$21,450 ",Automatic,15351,Hybrid,135,85.6,1.8,toyota
 Aygo,2017,"$7,990 ",Manual,17915,Petrol,145,68.9,1,toyota
 4 Series,2017,"$20,999 ",Automatic,23312,Diesel,145,55.4,3,BMW
 Fiesta,2014,"$5,495 ",Manual,55259,Petrol,30,54.3,1.2,ford
 Golf,2018,"$12,995 ",Manual,24601,Diesel,145,61.4,1.6,volkswagen
 Focus,2018,"$16,200 ",Manual,19611,Diesel,145,67.3,2,ford
 X1,2016,"$17,490 ",Manual,20516,Diesel,125,58.9,2,BMW
 Corsa,2015,"$9,995 ",Manual,30000,Petrol,235,37.7,1.6,vauxhall
 Focus,2017,"$18,498 ",Manual,14441,Petrol,145,41.5,2,ford
 Corsa,2018,"$6,998 ",Manual,23001,Petrol,145,55.4,1.4,vauxhall
 Astra,2017,"$11,291 ",Manual,42536,Diesel,20,72.4,1.6,vauxhall
 Focus,2015,"$7,995 ",Manual,38052,Petrol,20,60.1,1,ford
 Passat,2019,"$16,750 ",Semi-Auto,6182,Diesel,145,53.3,2,volkswagen
 Octavia,2015,"$5,980 ",Manual,175500,Diesel,0,74.3,1.6,skoda
 A Class,2018,"$22,995 ",Semi-Auto,7009,Petrol,145,53.3,1.3,merc
 Polo,2017,"$9,990 ",Manual,45273,Petrol,145,60.1,1.2,volkswagen
 I10,2019,"$8,549 ",Manual,8084,Petrol,145,60.1,1,hyundi
 5 Series,2019,"$26,380 ",Semi-Auto,7609,Diesel,145,65.7,2,BMW
 Passat,2015,"$5,793 ",Manual,130000,Diesel,20,68.9,1.6,volkswagen
 Focus,2018,"$14,739 ",Manual,13986,Petrol,145,58.9,1,ford
 GLE Class,2019,"$46,500 ",Semi-Auto,8148,Diesel,145,36.7,2,merc
 Octavia,2019,"$17,995 ",Manual,982,Petrol,150,47.9,1.5,skoda
 Q3,2013,"$13,895 ",Automatic,42000,Diesel,205,47.9,2,Audi
 Aygo,2018,"$9,495 ",Semi-Auto,15064,Petrol,145,67.3,1,toyota
 Astra,2019,"$14,595 ",Manual,1,Petrol,145,47.9,1.4,vauxhall
 Kuga,2017,"$16,250 ",Manual,19643,Diesel,125,60.1,2,ford
 Octavia,2017,"$12,095 ",Manual,11354,Petrol,145,58.9,1,skoda
 Polo,2016,"$8,998 ",Manual,11305,Petrol,20,60.1,1,volkswagen
 A5,2012,"$8,795 ",Manual,78807,Diesel,30,61.4,2,Audi
 Mokka X,2017,"$12,396 ",Automatic,25443,Diesel,145,56.5,1.6,vauxhall
 A1,2018,"$15,000 ",Manual,9938,Petrol,145,65.7,1,Audi
 Passat,2016,"$11,699 ",Automatic,46518,Diesel,30,62.8,2,volkswagen
 Tiguan,2019,"$24,998 ",Semi-Auto,3531,Diesel,150,40.4,2,volkswagen
 Rapid,2018,"$8,990 ",Manual,15081,Petrol,145,61.4,1,skoda
 Corsa,2016,"$11,500 ",Automatic,16260,Petrol,145,47.9,1.4,vauxhall
 A3,2017,"$12,995 ",Automatic,15083,Diesel,145,72.4,1.6,Audi
 Golf,2019,"$26,999 ",Automatic,15182,Petrol,145,32.8,2,volkswagen
 Tiguan,2019,"$22,199 ",Automatic,6707,Diesel,145,40.4,2,volkswagen
 Astra,2017,"$9,995 ",Manual,35500,Petrol,125,51.4,1.4,vauxhall
 I30,2016,"$9,995 ",Manual,9671,Diesel,0,78.4,1.6,hyundi
 A1,2016,"$11,299 ",Manual,12730,Petrol,30,57.6,1.4,Audi
 Astra,2017,"$11,798 ",Semi-Auto,11138,Petrol,145,51.4,1.4,vauxhall
 A Class,2018,"$17,499 ",Automatic,21548,Diesel,145,65.7,1.5,merc
 Mokka X,2019,"$13,560 ",Manual,8818,Petrol,145,39.2,1.4,vauxhall
 Aygo,2013,"$4,325 ",Manual,25454,Petrol,0,65.7,1,toyota
 3 Series,2019,"$27,498 ",Semi-Auto,9091,Diesel,150,52.3,2,BMW
 2 Series,2019,"$20,980 ",Manual,1000,Petrol,145,52.3,1.5,BMW
 Golf,2020,"$25,490 ",Semi-Auto,5000,Diesel,150,60.1,2,volkswagen
 Kamiq,2019,"$19,950 ",Manual,1234,Petrol,145,47.1,1.5,skoda
 C Class,2018,"$18,700 ",Automatic,19941,Diesel,150,65.7,1.6,merc
 Grandland X,2019,"$17,995 ",Manual,14776,Petrol,145,44.1,1.2,vauxhall
 Up,2015,"$5,243 ",Manual,41195,Petrol,20,62.8,1,volkswagen
 5 Series,2019,"$30,995 ",Semi-Auto,1000,Diesel,145,60.1,2,BMW
 Aygo,2016,"$7,100 ",Manual,6425,Petrol,0,69,1,toyota
 A Class,2014,"$13,999 ",Semi-Auto,35000,Diesel,20,64.2,2.1,merc
 Corsa,2009,"$2,695 ",Manual,97000,Petrol,145,48.7,1.2,vauxhall
 Auris,2016,"$12,995 ",Automatic,32000,Hybrid,0,78.5,1.8,toyota
 C Class,2020,"$28,990 ",Automatic,3458,Petrol,145,46.3,1.5,merc
 Touareg,2018,"$36,991 ",Semi-Auto,15297,Diesel,150,34,3,volkswagen
 Fiesta,2019,"$12,998 ",Manual,10102,Petrol,145,58.9,1,ford
 B-MAX,2013,"$6,250 ",Automatic,25000,Petrol,160,44.1,1.6,ford
 Insignia,2017,"$11,699 ",Manual,23731,Petrol,150,47.1,1.5,vauxhall
 M4,2017,"$36,820 ",Semi-Auto,27806,Petrol,145,34,3,BMW
 3 Series,2017,"$20,990 ",Semi-Auto,19842,Diesel,160,51.4,3,BMW
 A6,2017,"$16,500 ",Automatic,44250,Diesel,145,67.3,2,Audi
 Fiesta,2017,"$7,849 ",Manual,19298,Petrol,145,65.7,1,ford
 X5,2018,"$51,988 ",Automatic,9691,Petrol,150,25.4,4.4,BMW
 Tucson,2019,"$20,970 ",Manual,575,Petrol,145,34.9,1.6,hyundi
 Insignia,2019,"$17,999 ",Manual,17982,Diesel,145,54.3,2,vauxhall
 Corsa,2015,"$7,034 ",Manual,32500,Petrol,30,55.4,1.4,vauxhall
 Polo,2016,"$13,999 ",Semi-Auto,22796,Petrol,20,61.4,1.4,volkswagen
 Polo,2015,"$8,062 ",Manual,43093,Petrol,20,60.1,1.2,volkswagen
 Kuga,2015,"$14,498 ",Manual,37623,Diesel,145,54.3,2,ford
 Golf,2019,"$23,995 ",Semi-Auto,12332,Diesel,145,49.6,2,volkswagen
 Golf,2017,"$13,600 ",Manual,10856,Diesel,145,61.4,1.6,volkswagen
 4 Series,2020,"$26,990 ",Semi-Auto,5,Diesel,145,65.7,2,BMW
 Octavia,2019,"$19,945 ",Semi-Auto,7082,Petrol,145,45.6,1.5,skoda
 Karoq,2019,"$22,000 ",Automatic,1958,Diesel,150,62.8,1.6,skoda
 Kuga,2017,"$17,000 ",Manual,30850,Diesel,150,54.3,2,ford
 Fiesta,2016,"$10,199 ",Manual,18010,Petrol,0,65.7,1,ford
 Golf,2019,"$21,995 ",Semi-Auto,16998,Petrol,145,43.5,1.5,volkswagen
 Focus,2019,"$15,890 ",Manual,12049,Petrol,145,58.9,1,ford
 A4,2014,"$11,995 ",Semi-Auto,51120,Diesel,125,58.9,2,Audi
 3 Series,2016,"$19,000 ",Automatic,26114,Diesel,145,53.3,3,BMW
 Tiguan,2017,"$23,790 ",Semi-Auto,20159,Diesel,145,57.6,2,volkswagen
 E Class,2018,"$21,499 ",Semi-Auto,27322,Diesel,145,72.4,2,merc
 Superb,2019,"$20,998 ",Semi-Auto,3562,Diesel,150,47.9,1.6,skoda
 A Class,2020,"$26,987 ",Semi-Auto,2577,Petrol,145,53.3,1.3,merc
 Yaris,2015,"$11,500 ",Automatic,14864,Hybrid,0,78,1.5,toyota
 Golf,2019,"$12,498 ",Manual,15232,Diesel,145,57.7,1.6,volkswagen
 T-Roc,2019,"$32,990 ",Automatic,1000,Petrol,145,32.5,2,volkswagen
 CC,2014,"$9,995 ",Semi-Auto,36221,Diesel,145,53.3,2,volkswagen
 Corsa,2019,"$9,994 ",Manual,2196,Petrol,145,43.5,1.4,vauxhall
 X3,2015,"$18,298 ",Semi-Auto,58779,Diesel,145,54.3,2,BMW
 Astra,2017,"$11,298 ",Manual,21192,Petrol,125,51.4,1.4,vauxhall
 2 Series,2017,"$23,490 ",Semi-Auto,7918,Petrol,145,39.8,3,BMW
 Fabia,2019,"$13,654 ",Semi-Auto,12329,Petrol,150,60.1,1,skoda
 Octavia,2019,"$14,000 ",Manual,13896,Petrol,150,55.4,1.5,skoda
 Fiesta,2016,"$8,999 ",Automatic,27820,Petrol,30,57.7,1,ford
 Octavia,2017,"$11,995 ",Manual,24256,Diesel,150,68.9,1.6,skoda
 A Class,2020,"$25,729 ",Semi-Auto,1000,Petrol,145,53.3,1.3,merc
 Insignia,2017,"$9,798 ",Manual,27113,Diesel,145,62.8,2,vauxhall
 3 Series,2017,"$19,116 ",Semi-Auto,51260,Diesel,150,53.3,3,BMW
 Yaris,2020,"$16,691 ",Manual,1000,Petrol,145,47.9,1.5,toyota
 Fabia,2018,"$12,500 ",Automatic,24201,Petrol,145,61.4,1,skoda
 A1,2015,"$8,874 ",Manual,74805,Petrol,30,55.4,1.4,Audi
 Focus,2017,"$9,774 ",Manual,26437,Petrol,145,61.4,1,ford
 GLA Class,2015,"$16,299 ",Semi-Auto,44588,Diesel,125,56.6,2.1,merc
 Viva,2016,"$5,299 ",Manual,46736,Petrol,0,65.7,1,vauxhall
 Fiesta,2018,"$11,999 ",Manual,13550,Petrol,145,65.7,1,ford
 Passat,2015,"$7,393 ",Manual,132000,Diesel,20,67.3,2,volkswagen
 Fiesta,2018,"$9,491 ",Manual,19272,Petrol,145,64.2,1.1,ford
 Golf,2014,"$7,999 ",Manual,47006,Diesel,0,68.9,1.6,volkswagen
 Polo,2016,"$9,190 ",Manual,21280,Petrol,20,60.1,1.2,volkswagen
 Tucson,2018,"$17,591 ",Semi-Auto,31459,Diesel,145,57.7,1.7,hyundi
 Ka+,2018,"$7,680 ",Manual,21819,Petrol,145,57.7,1.2,ford
 Scirocco,2015,"$14,990 ",Manual,50000,Petrol,300,34.9,2,volkswagen
 Fiesta,2016,"$9,851 ",Manual,28581,Diesel,0,78.5,1.5,ford
 1 Series,2018,"$15,637 ",Manual,18021,Petrol,145,37.7,1.5,BMW
 Octavia,2016,"$10,690 ",Automatic,6993,Petrol,20,62.8,1,skoda
 Focus,2019,"$17,999 ",Automatic,3521,Diesel,145,64.2,2,ford
 Astra,2017,"$10,995 ",Manual,3650,Petrol,160,47.1,1.4,vauxhall
 E Class,2016,"$17,650 ",Semi-Auto,51492,Diesel,20,72.4,2,merc
 Citigo,2013,"$5,000 ",Manual,51082,Petrol,0,68.9,1,skoda
 Fiesta,2016,"$8,650 ",Manual,27241,Petrol,20,62.8,1,ford
 A8,2006,"$5,595 ",Automatic,104000,Diesel,325,33.6,3,Audi
 Tiguan,2019,"$25,990 ",Manual,2500,Diesel,145,47.9,2,volkswagen
 Focus,2018,"$20,500 ",Manual,6004,Petrol,145,41.5,2,ford
 Golf,2017,"$13,391 ",Manual,23543,Petrol,150,54.3,1.4,volkswagen
 X1,2013,"$10,440 ",Automatic,46217,Diesel,165,52.3,2,BMW
 Fabia,2017,"$8,290 ",Manual,7878,Petrol,20,58.8,1,skoda
 1 Series,2017,"$22,490 ",Semi-Auto,15985,Petrol,145,39.8,3,BMW
 A4,2017,"$24,999 ",Semi-Auto,32000,Diesel,145,57.6,2,Audi
 2 Series,2016,"$10,500 ",Manual,83200,Diesel,30,64.2,2,BMW
 Corsa,2017,"$7,499 ",Manual,31000,Petrol,145,55.4,1.4,vauxhall
 Astra,2018,"$12,850 ",Manual,6385,Petrol,150,50.4,1.4,vauxhall
 Insignia,2017,"$10,795 ",Manual,50083,Diesel,145,68.9,1.6,vauxhall
 Touareg,2015,"$19,001 ",Semi-Auto,71000,Diesel,240,42.8,3,volkswagen
 Tiguan,2019,"$22,193 ",Manual,11500,Diesel,150,47.9,2,volkswagen
 Fabia,2016,"$8,698 ",Manual,17452,Petrol,20,60.1,1.2,skoda
 E Class,2019,"$31,490 ",Semi-Auto,3948,Diesel,145,45.6,2,merc
 Aygo,2017,"$7,650 ",Automatic,44152,Petrol,145,67.3,1,toyota
 Yaris,2019,"$11,495 ",Manual,11206,Petrol,145,47.9,1.5,toyota
 Tucson,2016,"$13,995 ",Automatic,20000,Diesel,200,47.1,2,hyundi
 Fiesta,2015,"$6,698 ",Manual,36895,Diesel,0,76.4,1.5,ford
 RS6,2016,"$49,950 ",Semi-Auto,22500,Petrol,325,29.4,4,Audi
 A4,2013,"$8,990 ",Manual,83000,Diesel,30,62.8,2,Audi
 Aygo,2019,"$9,995 ",Manual,10,Petrol,145,56.5,1,toyota
 Focus,2017,"$10,990 ",Manual,16548,Petrol,20,61.4,1,ford
 Zafira,2017,"$13,000 ",Automatic,7114,Petrol,200,40.9,1.4,vauxhall
